id	effectiveTime	active	moduleId	refsetId	referencedComponentId	attributeDescription	attributeType	attributeOrder
03FA60C6-23F3-41CF-800B-EBF2927396B8	20251211	1	999000011000230102	900000000000456007	999036941000230108	449608002	900000000000461009	0
050527D4-F12A-4024-88FA-54303BC2B9E4	20251211	1	999000011000230102	900000000000456007	999037011000230106	449608002	900000000000461009	0
057E8CF0-9215-4BEC-A95B-4F4CAD4CDE0D	20251211	1	999000011000230102	900000000000456007	999036711000230105	449608002	900000000000461009	0
0BA83D8C-CB2E-457B-B983-5FA464FF32DF	20251211	1	999000011000230102	900000000000456007	999036921000230104	449608002	900000000000461009	0
104AD3A1-47A9-4129-A4B2-C5B4C42E2640	20251211	1	999000011000230102	900000000000456007	999037061000230108	449608002	900000000000461009	0
12A381CD-A73D-4A47-8161-02AA730C332B	20251211	1	999000011000230102	900000000000456007	999036771000230103	449608002	900000000000461009	0
18639260-C7B5-482C-A742-B914A2C251FE	20251211	1	999000011000230102	900000000000456007	999036621000230105	449608002	900000000000461009	0
22E62828-0375-4598-99D2-04BE32FA8E8D	20251211	1	999000011000230102	900000000000456007	999037081000230102	449608002	900000000000461009	0
231CA2A6-5B98-435A-A2B1-A5A2A200FC87	20251211	1	999000011000230102	900000000000456007	999036681000230106	449608002	900000000000461009	0
2503B6A4-5552-45A4-8FDD-FE642F55A194	20251211	1	999000011000230102	900000000000456007	999037021000230103	449608002	900000000000461009	0
26B388C2-484F-4263-B346-755A8F9AEBB7	20251211	1	999000011000230102	900000000000456007	999036731000230100	449608002	900000000000461009	0
277B570E-1DE6-4A6A-AAD9-CCC8A48F9028	20251211	1	999000011000230102	900000000000456007	999036821000230106	449608002	900000000000461009	0
2801124A-303C-4D1A-B89E-17D0F23DFDFC	20251211	1	999000011000230102	900000000000456007	999037041000230107	449608002	900000000000461009	0
2E1199C2-3B57-4DAC-9164-A1346823B789	20251211	1	999000011000230102	900000000000456007	999036791000230104	449608002	900000000000461009	0
316739A6-381A-4757-8A89-E4B4C45034C2	20251211	1	999000011000230102	900000000000456007	999036911000230107	449608002	900000000000461009	0
341E7CB2-CB2E-42DA-9ADB-24306DFA075E	20251211	1	999000011000230102	900000000000456007	999036931000230102	449608002	900000000000461009	0
44B2AE31-B97F-4537-A0EA-193EC2519AD7	20251211	1	999000011000230102	900000000000456007	999036611000230102	449608002	900000000000461009	0
49476496-1DF4-4471-8CED-808FE3680351	20251211	1	999000011000230102	900000000000456007	999036671000230109	449608002	900000000000461009	0
4DB143AD-6778-4ED4-BF24-8D5CD7B665BD	20251211	1	999000011000230102	900000000000456007	999036971000230100	449608002	900000000000461009	0
