id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200427	1	999000011000230102	900000000000534007	900000000000012004	20200427	20180731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200507	1	999000011000230102	900000000000534007	900000000000012004	20200507	20180731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200521	1	999000011000230102	900000000000534007	900000000000012004	20200521	20180731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200608	1	999000011000230102	900000000000534007	900000000000012004	20200608	20180731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200618	1	999000011000230102	900000000000534007	900000000000012004	20200618	20180731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200715	1	999000011000230102	900000000000534007	900000000000012004	20200715	20180731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200812	1	999000011000230102	900000000000534007	900000000000012004	20200812	20190731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20200909	1	999000011000230102	900000000000534007	900000000000012004	20200909	20190731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20201016	1	999000011000230102	900000000000534007	900000000000012004	20201016	20190731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20201223	1	999000011000230102	900000000000534007	900000000000012004	20201223	20200731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210127	1	999000011000230102	900000000000534007	900000000000012004	20210127	20200731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210224	1	999000011000230102	900000000000534007	900000000000012004	20210224	20200731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210315	1	999000011000230102	900000000000534007	900000000000012004	20210315	20200731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210331	1	999000011000230102	900000000000534007	900000000000012004	20210331	20200731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210423	1	999000011000230102	900000000000534007	900000000000012004	20210423	20200731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210521	1	999000011000230102	900000000000534007	900000000000012004	20210521	20200731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210707	1	999000011000230102	900000000000534007	900000000000012004	20210707	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210817	1	999000011000230102	900000000000534007	900000000000012004	20210817	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20210914	1	999000011000230102	900000000000534007	900000000000012004	20210914	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20211027	1	999000011000230102	900000000000534007	900000000000012004	20211027	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20211115	1	999000011000230102	900000000000534007	900000000000012004	20211115	20210929
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20211221	1	999000011000230102	900000000000534007	900000000000012004	20211221	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20220309	1	999000011000230102	900000000000534007	900000000000012004	20220309	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20220407	1	999000011000230102	900000000000534007	900000000000012004	20220407	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20220429	1	999000011000230102	900000000000534007	900000000000012004	20220429	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20220722	1	999000011000230102	900000000000534007	900000000000012004	20220722	20210731
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20220817	1	999000011000230102	900000000000534007	900000000000012004	20220817	20210131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20220916	1	999000011000230102	900000000000534007	900000000000012004	20220916	20220131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20221007	1	999000011000230102	900000000000534007	900000000000012004	20221007	20220131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20221028	1	999000011000230102	900000000000534007	900000000000012004	20221028	20220131
33FA8C10-09EA-4FB3-9912-73A0BC9E9965	20221129	1	999000011000230102	900000000000534007	900000000000012004	20221129	20220731
