id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
999036641000230129	20251211	1	999000011000230102	999036611000230102	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036651000230126	20251211	1	999000011000230102	999036621000230105	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036661000230128	20251211	1	999000011000230102	999036631000230107	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036671000230121	20251211	1	999000011000230102	999036641000230101	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036681000230123	20251211	1	999000011000230102	999036651000230103	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036691000230120	20251211	1	999000011000230102	999036661000230100	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036701000230120	20251211	1	999000011000230102	999036671000230109	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036711000230122	20251211	1	999000011000230102	999036681000230106	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036721000230125	20251211	1	999000011000230102	999036691000230108	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036731000230128	20251211	1	999000011000230102	999036701000230108	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036741000230123	20251211	1	999000011000230102	999036711000230105	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036751000230121	20251211	1	999000011000230102	999036721000230102	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036761000230124	20251211	1	999000011000230102	999036731000230100	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036771000230126	20251211	1	999000011000230102	999036741000230106	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036781000230129	20251211	1	999000011000230102	999036751000230109	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036791000230127	20251211	1	999000011000230102	999036761000230107	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036801000230128	20251211	1	999000011000230102	999036771000230103	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036811000230126	20251211	1	999000011000230102	999036781000230101	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036821000230123	20251211	1	999000011000230102	999036791000230104	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036831000230120	20251211	1	999000011000230102	999036801000230100	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036841000230125	20251211	1	999000011000230102	999036811000230103	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036851000230127	20251211	1	999000011000230102	999036821000230106	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036861000230129	20251211	1	999000011000230102	999036831000230108	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036871000230122	20251211	1	999000011000230102	999036841000230102	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036881000230124	20251211	1	999000011000230102	999036851000230104	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036891000230121	20251211	1	999000011000230102	999036861000230101	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036901000230122	20251211	1	999000011000230102	999036871000230105	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036911000230124	20251211	1	999000011000230102	999036881000230107	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036921000230127	20251211	1	999000011000230102	999036891000230109	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036931000230125	20251211	1	999000011000230102	999036901000230105	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036941000230120	20251211	1	999000011000230102	999036911000230107	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036951000230123	20251211	1	999000011000230102	999036921000230104	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036961000230121	20251211	1	999000011000230102	999036931000230102	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036971000230128	20251211	1	999000011000230102	999036941000230108	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036981000230126	20251211	1	999000011000230102	999036951000230106	999000051000230103	0	116680003	900000000000011006	900000000000451002
999036991000230129	20251211	1	999000011000230102	999036961000230109	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037001000230121	20251211	1	999000011000230102	999036971000230100	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037011000230123	20251211	1	999000011000230102	999036981000230103	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037021000230126	20251211	1	999000011000230102	999036991000230101	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037031000230129	20251211	1	999000011000230102	999037001000230109	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037041000230124	20251211	1	999000011000230102	999037011000230106	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037051000230122	20251211	1	999000011000230102	999037021000230103	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037061000230120	20251211	1	999000011000230102	999037031000230101	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037071000230127	20251211	1	999000011000230102	999037041000230107	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037081000230125	20251211	1	999000011000230102	999037051000230105	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037091000230128	20251211	1	999000011000230102	999037061000230108	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037101000230122	20251211	1	999000011000230102	999037071000230104	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037111000230124	20251211	1	999000011000230102	999037081000230102	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037121000230127	20251211	1	999000011000230102	999037091000230100	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037131000230125	20251211	1	999000011000230102	999037101000230105	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037141000230120	20251211	1	999000011000230102	999037111000230107	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037151000230123	20251211	1	999000011000230102	999037121000230104	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037161000230121	20251211	1	999000011000230102	999037131000230102	999000051000230103	0	116680003	900000000000011006	900000000000451002
999037171000230128	20251211	1	999000011000230102	999037141000230108	999000051000230103	0	116680003	900000000000011006	900000000000451002
