id	effectiveTime	active	moduleId	definitionStatusId
999036611000230102	20251211	1	999000011000230102	900000000000074008
999036621000230105	20251211	1	999000011000230102	900000000000074008
999036631000230107	20251211	1	999000011000230102	900000000000074008
999036641000230101	20251211	1	999000011000230102	900000000000074008
999036651000230103	20251211	1	999000011000230102	900000000000074008
999036661000230100	20251211	1	999000011000230102	900000000000074008
999036671000230109	20251211	1	999000011000230102	900000000000074008
999036681000230106	20251211	1	999000011000230102	900000000000074008
999036691000230108	20251211	1	999000011000230102	900000000000074008
999036701000230108	20251211	1	999000011000230102	900000000000074008
999036711000230105	20251211	1	999000011000230102	900000000000074008
999036721000230102	20251211	1	999000011000230102	900000000000074008
999036731000230100	20251211	1	999000011000230102	900000000000074008
999036741000230106	20251211	1	999000011000230102	900000000000074008
999036751000230109	20251211	1	999000011000230102	900000000000074008
999036761000230107	20251211	1	999000011000230102	900000000000074008
999036771000230103	20251211	1	999000011000230102	900000000000074008
999036781000230101	20251211	1	999000011000230102	900000000000074008
999036791000230104	20251211	1	999000011000230102	900000000000074008
999036801000230100	20251211	1	999000011000230102	900000000000074008
999036811000230103	20251211	1	999000011000230102	900000000000074008
999036821000230106	20251211	1	999000011000230102	900000000000074008
999036831000230108	20251211	1	999000011000230102	900000000000074008
999036841000230102	20251211	1	999000011000230102	900000000000074008
999036851000230104	20251211	1	999000011000230102	900000000000074008
999036861000230101	20251211	1	999000011000230102	900000000000074008
999036871000230105	20251211	1	999000011000230102	900000000000074008
999036881000230107	20251211	1	999000011000230102	900000000000074008
999036891000230109	20251211	1	999000011000230102	900000000000074008
999036901000230105	20251211	1	999000011000230102	900000000000074008
999036911000230107	20251211	1	999000011000230102	900000000000074008
999036921000230104	20251211	1	999000011000230102	900000000000074008
999036931000230102	20251211	1	999000011000230102	900000000000074008
999036941000230108	20251211	1	999000011000230102	900000000000074008
999036951000230106	20251211	1	999000011000230102	900000000000074008
999036961000230109	20251211	1	999000011000230102	900000000000074008
999036971000230100	20251211	1	999000011000230102	900000000000074008
999036981000230103	20251211	1	999000011000230102	900000000000074008
999036991000230101	20251211	1	999000011000230102	900000000000074008
999037001000230109	20251211	1	999000011000230102	900000000000074008
999037011000230106	20251211	1	999000011000230102	900000000000074008
999037021000230103	20251211	1	999000011000230102	900000000000074008
999037031000230101	20251211	1	999000011000230102	900000000000074008
999037041000230107	20251211	1	999000011000230102	900000000000074008
999037051000230105	20251211	1	999000011000230102	900000000000074008
999037061000230108	20251211	1	999000011000230102	900000000000074008
999037071000230104	20251211	1	999000011000230102	900000000000074008
999037081000230102	20251211	1	999000011000230102	900000000000074008
999037091000230100	20251211	1	999000011000230102	900000000000074008
999037101000230105	20251211	1	999000011000230102	900000000000074008
999037111000230107	20251211	1	999000011000230102	900000000000074008
999037121000230104	20251211	1	999000011000230102	900000000000074008
999037131000230102	20251211	1	999000011000230102	900000000000074008
999037141000230108	20251211	1	999000011000230102	900000000000074008
