id	effectiveTime	active	moduleId	definitionStatusId
999000011000230102	20200427	1	999000011000230102	900000000000074008
999000051000230103	20200427	1	999000011000230102	900000000000074008
999000091000230108	20200427	1	999000011000230102	900000000000074008
999000131000230106	20200427	1	999000011000230102	900000000000074008
999000171000230108	20200427	1	999000011000230102	900000000000074008
999000211000230106	20200427	1	999000011000230102	900000000000074008
999000251000230105	20200427	1	999000011000230102	900000000000074008
999000291000230100	20200427	1	999000011000230102	900000000000074008
999000331000230109	20200427	1	999000011000230102	900000000000074008
999000371000230106	20200427	1	999000011000230102	900000000000074008
999000411000230105	20200427	1	999000011000230102	900000000000074008
999000451000230109	20200427	1	999000011000230102	900000000000074008
999000491000230104	20200427	1	999000011000230102	900000000000074008
999000531000230104	20200427	1	999000011000230102	900000000000074008
999000571000230102	20200427	1	999000011000230102	900000000000074008
999000611000230108	20200427	1	999000011000230102	900000000000074008
999000651000230107	20200427	1	999000011000230102	900000000000074008
999000691000230102	20200427	1	999000011000230102	900000000000074008
999000731000230105	20200427	1	999000011000230102	900000000000074008
999000771000230107	20200427	1	999000011000230102	900000000000074008
999000811000230107	20200427	1	999000011000230102	900000000000074008
999000851000230106	20200427	1	999000011000230102	900000000000074008
999000891000230101	20200427	1	999000011000230102	900000000000074008
999000931000230108	20200427	1	999000011000230102	900000000000074008
999000971000230105	20200427	1	999000011000230102	900000000000074008
999001011000230105	20200427	1	999000011000230102	900000000000074008
999001051000230109	20200427	1	999000011000230102	900000000000074008
999001091000230104	20200427	1	999000011000230102	900000000000074008
999001131000230101	20200427	1	999000011000230102	900000000000074008
999001171000230104	20200427	1	999000011000230102	900000000000074008
999001211000230101	20230413	0	999000011000230102	900000000000074008
999001251000230102	20200427	1	999000011000230102	900000000000074008
999001331000230103	20200427	1	999000011000230102	900000000000074008
999001371000230101	20200427	1	999000011000230102	900000000000074008
999001411000230102	20230818	0	999000011000230102	900000000000074008
999001451000230103	20200427	1	999000011000230102	900000000000074008
999001491000230108	20200427	1	999000011000230102	900000000000074008
999001531000230108	20200427	1	999000011000230102	900000000000074008
999001571000230105	20200427	1	999000011000230102	900000000000074008
999001611000230104	20200427	1	999000011000230102	900000000000074008
999001651000230100	20230818	0	999000011000230102	900000000000074008
999001691000230105	20200427	1	999000011000230102	900000000000074008
999001731000230102	20200427	1	999000011000230102	900000000000074008
999001771000230100	20200427	1	999000011000230102	900000000000074008
999001811000230100	20200427	1	999000011000230102	900000000000074008
999001851000230101	20200427	1	999000011000230102	900000000000074008
999001891000230106	20200427	1	999000011000230102	900000000000074008
999001931000230104	20200427	1	999000011000230102	900000000000074008
999001971000230102	20200427	1	999000011000230102	900000000000074008
999002011000230103	20200427	1	999000011000230102	900000000000074008
999002051000230104	20200427	1	999000011000230102	900000000000074008
999002091000230109	20200427	1	999000011000230102	900000000000074008
999002131000230107	20200427	1	999000011000230102	900000000000074008
999002171000230109	20200427	1	999000011000230102	900000000000074008
999002211000230107	20200427	1	999000011000230102	900000000000074008
999002251000230106	20200427	1	999000011000230102	900000000000074008
999002291000230101	20200427	1	999000011000230102	900000000000074008
999002331000230105	20200427	1	999000011000230102	900000000000074008
999002371000230107	20200427	1	999000011000230102	900000000000074008
999002411000230106	20200427	1	999000011000230102	900000000000074008
999002451000230105	20200427	1	999000011000230102	900000000000074008
999002491000230100	20200427	1	999000011000230102	900000000000074008
999002531000230100	20200427	1	999000011000230102	900000000000074008
999002571000230103	20200427	1	999000011000230102	900000000000074008
999002611000230109	20200427	1	999000011000230102	900000000000074008
999002651000230108	20200427	1	999000011000230102	900000000000074008
999002691000230103	20220309	0	999000011000230102	900000000000074008
999002731000230106	20200427	1	999000011000230102	900000000000074008
999002771000230108	20200427	1	999000011000230102	900000000000074008
999002811000230108	20200427	1	999000011000230102	900000000000074008
999002851000230107	20200427	1	999000011000230102	900000000000074008
999002891000230102	20200427	1	999000011000230102	900000000000074008
999002931000230109	20200427	1	999000011000230102	900000000000074008
999002971000230106	20200427	1	999000011000230102	900000000000074008
999003011000230106	20200427	1	999000011000230102	900000000000074008
999003051000230105	20200427	1	999000011000230102	900000000000074008
999003091000230100	20200427	1	999000011000230102	900000000000074008
999003131000230102	20200427	1	999000011000230102	900000000000074008
999003171000230100	20200427	1	999000011000230102	900000000000074008
999003211000230102	20200427	1	999000011000230102	900000000000074008
999003251000230103	20200427	1	999000011000230102	900000000000074008
999003291000230108	20200427	1	999000011000230102	900000000000074008
999003331000230104	20200427	1	999000011000230102	900000000000074008
999003371000230102	20200427	1	999000011000230102	900000000000074008
999003411000230103	20200427	1	999000011000230102	900000000000074008
999003451000230104	20200427	1	999000011000230102	900000000000074008
999003491000230109	20200427	1	999000011000230102	900000000000074008
999003531000230109	20200427	1	999000011000230102	900000000000074008
999003571000230106	20200427	1	999000011000230102	900000000000074008
999003611000230100	20200427	1	999000011000230102	900000000000074008
999003651000230101	20200427	1	999000011000230102	900000000000074008
999003691000230106	20220309	0	999000011000230102	900000000000074008
999003731000230103	20200427	1	999000011000230102	900000000000074008
999003771000230101	20200427	1	999000011000230102	900000000000074008
999003811000230101	20200427	1	999000011000230102	900000000000074008
999003851000230102	20200427	1	999000011000230102	900000000000074008
999003891000230107	20200427	1	999000011000230102	900000000000074008
999003931000230100	20200427	1	999000011000230102	900000000000074008
999003971000230103	20200427	1	999000011000230102	900000000000074008
999004011000230108	20200427	1	999000011000230102	900000000000074008
999004051000230107	20200427	1	999000011000230102	900000000000074008
999004091000230102	20250521	0	999000011000230102	900000000000074008
999004131000230104	20200427	1	999000011000230102	900000000000074008
999004171000230102	20200427	1	999000011000230102	900000000000074008
999004211000230104	20200427	1	999000011000230102	900000000000074008
999004251000230100	20250521	0	999000011000230102	900000000000074008
999004291000230105	20250521	0	999000011000230102	900000000000074008
999004331000230101	20200427	1	999000011000230102	900000000000074008
999004371000230104	20200427	1	999000011000230102	900000000000074008
999004411000230100	20250521	0	999000011000230102	900000000000074008
999004451000230101	20200427	1	999000011000230102	900000000000074008
999004491000230106	20200427	1	999000011000230102	900000000000074008
999004531000230106	20200427	1	999000011000230102	900000000000074008
999004571000230108	20250521	0	999000011000230102	900000000000074008
999004611000230102	20200427	1	999000011000230102	900000000000074008
999004651000230103	20200427	1	999000011000230102	900000000000074008
999004691000230108	20200427	1	999000011000230102	900000000000074008
999004731000230100	20250521	0	999000011000230102	900000000000074008
999004771000230103	20200427	1	999000011000230102	900000000000074008
999004811000230103	20200427	1	999000011000230102	900000000000074008
999004851000230104	20200427	1	999000011000230102	900000000000074008
999004891000230109	20200427	1	999000011000230102	900000000000074008
999004931000230102	20200427	1	999000011000230102	900000000000074008
999004971000230100	20250521	0	999000011000230102	900000000000074008
999005011000230107	20200427	1	999000011000230102	900000000000074008
999005051000230106	20200427	1	999000011000230102	900000000000074008
999005091000230101	20200427	1	999000011000230102	900000000000074008
999005131000230103	20200427	1	999000011000230102	900000000000074008
999005171000230101	20200427	1	999000011000230102	900000000000074008
999005211000230103	20200427	1	999000011000230102	900000000000074008
999005251000230104	20200427	1	999000011000230102	900000000000074008
999005291000230109	20200427	1	999000011000230102	900000000000074008
999005331000230100	20200427	1	999000011000230102	900000000000074008
999005371000230103	20200427	1	999000011000230102	900000000000074008
999005411000230104	20200427	1	999000011000230102	900000000000074008
999005451000230100	20200427	1	999000011000230102	900000000000074008
999005491000230105	20200427	1	999000011000230102	900000000000074008
999005531000230105	20200427	1	999000011000230102	900000000000074008
999005571000230107	20250521	0	999000011000230102	900000000000074008
999005611000230101	20250521	0	999000011000230102	900000000000074008
999005651000230102	20200427	1	999000011000230102	900000000000074008
999005691000230107	20200427	1	999000011000230102	900000000000074008
999005731000230104	20200618	0	999000011000230102	900000000000074008
999005771000230102	20250521	0	999000011000230102	900000000000074008
999005811000230102	20250521	0	999000011000230102	900000000000074008
999005851000230103	20200427	1	999000011000230102	900000000000074008
999005891000230108	20200427	1	999000011000230102	900000000000074008
999005931000230101	20200427	1	999000011000230102	900000000000074008
999005971000230104	20200427	1	999000011000230102	900000000000074008
999006011000230104	20200427	1	999000011000230102	900000000000074008
999006051000230100	20200427	1	999000011000230102	900000000000074008
999006091000230105	20200427	1	999000011000230102	900000000000074008
999006131000230108	20250521	0	999000011000230102	900000000000074008
999006171000230105	20200427	1	999000011000230102	900000000000074008
999006211000230108	20250521	0	999000011000230102	900000000000074008
999006251000230107	20200618	0	999000011000230102	900000000000074008
999006291000230102	20200427	1	999000011000230102	900000000000074008
999006331000230106	20200427	1	999000011000230102	900000000000074008
999006371000230108	20200427	1	999000011000230102	900000000000074008
999006411000230107	20200427	1	999000011000230102	900000000000074008
999006451000230106	20230818	0	999000011000230102	900000000000074008
999006491000230101	20250521	0	999000011000230102	900000000000074008
999006531000230101	20200427	1	999000011000230102	900000000000074008
999006571000230104	20200618	0	999000011000230102	900000000000074008
999006611000230105	20200427	1	999000011000230102	900000000000074008
999006651000230109	20200427	1	999000011000230102	900000000000074008
999006691000230104	20200427	1	999000011000230102	900000000000074008
999006731000230107	20250521	0	999000011000230102	900000000000074008
999006771000230109	20200427	1	999000011000230102	900000000000074008
999006811000230109	20200427	1	999000011000230102	900000000000074008
999006851000230108	20250521	0	999000011000230102	900000000000074008
999006891000230103	20200427	1	999000011000230102	900000000000074008
999006931000230105	20200427	1	999000011000230102	900000000000074008
999006971000230107	20200427	1	999000011000230102	900000000000074008
999007011000230101	20200427	1	999000011000230102	900000000000074008
999007051000230102	20200427	1	999000011000230102	900000000000074008
999007091000230107	20200812	0	999000011000230102	900000000000074008
999007131000230105	20200427	1	999000011000230102	900000000000074008
999007171000230107	20250521	0	999000011000230102	900000000000074008
999007211000230105	20200427	1	999000011000230102	900000000000074008
999007251000230109	20200427	1	999000011000230102	900000000000074008
999007291000230104	20200427	1	999000011000230102	900000000000074008
999007331000230108	20200427	1	999000011000230102	900000000000074008
